SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,peak_intensity
1963219N09146,1963-08-07 12:00:00,1963-08-17 18:00:00,1963,125.0,81,14.059259259259258,125.14320987654321,TY
1963240N09157,1963-09-01 06:00:00,1963-09-09 06:00:00,1963,110.0,65,18.53230769230769,120.61384615384615,TY
1963247N18145,1963-09-05 12:00:00,1963-09-13 03:00:00,1963,135.0,62,21.998387096774195,128.18225806451613,STY
1963251N13151,1963-09-10 18:00:00,1963-09-12 06:00:00,1963,45.0,13,17.284615384615385,136.41538461538462,TS
1963276N10140,1963-10-05 06:00:00,1963-10-11 18:00:00,1963,135.0,53,21.79245283018868,136.0245283018868,STY
1963343N10130,1963-12-12 00:00:00,1963-12-13 09:00:00,1963,75.0,12,15.883333333333333,119.05833333333334,TY
1963349N12131,1963-12-16 12:00:00,1963-12-18 12:00:00,1963,40.0,17,17.105882352941176,124.82941176470588,TS
1964133N10134,1964-05-14 06:00:00,1964-05-23 12:00:00,1964,85.0,75,17.296,140.19466666666668,TY
1964177N09142,1964-06-26 06:00:00,1964-07-03 09:00:00,1964,100.0,58,16.136206896551723,120.7551724137931,TY
1964184N22133,1964-07-02 06:00:00,1964-07-06 18:00:00,1964,110.0,37,25.994594594594595,125.71621621621621,TY
1964187N07150,1964-07-06 00:00:00,1964-07-10 00:00:00,1964,140.0,33,11.927272727272728,133.24545454545455,STY
1964193N10145,1964-07-11 12:00:00,1964-07-15 12:00:00,1964,80.0,33,17.83939393939394,131.1878787878788,TY
1964196N17144,1964-07-13 18:00:00,1964-07-18 18:00:00,1964,100.0,41,14.51951219512195,130.41463414634146,TY
1964208N17142,1964-07-27 00:00:00,1964-08-03 15:00:00,1964,50.0,62,22.4,131.28225806451613,TS
1964215N07150,1964-08-02 12:00:00,1964-08-09 03:00:00,1964,135.0,54,15.687037037037037,128.27962962962962,STY
1964222N10144,1964-08-10 06:00:00,1964-08-13 00:00:00,1964,40.0,23,16.682608695652174,127.38260869565218,TS
1964224N25161,1964-08-12 06:00:00,1964-08-25 03:00:00,1964,115.0,104,28.835576923076925,133.7875,TY
1964225N18128,1964-08-14 06:00:00,1964-08-18 18:00:00,1964,70.0,37,23.535135135135135,131.7,TY
1964245N20132,1964-09-01 06:00:00,1964-09-06 12:00:00,1964,120.0,40,20.692500000000003,120.375,TY
1964247N09159,1964-09-04 00:00:00,1964-09-11 12:00:00,1964,170.0,61,17.32622950819672,129.84262295081967,STY
1964256N17141,1964-09-13 12:00:00,1964-09-23 12:00:00,1964,110.0,80,19.25875,114.4675,TY
1964261N12149,1964-09-19 06:00:00,1964-09-25 09:00:00,1964,150.0,50,25.451999999999998,136.134,STY
1964267N17120,1964-09-24 12:00:00,1964-09-27 09:00:00,1964,50.0,24,14.320833333333333,111.94583333333333,TS
